floracion_dias,altura_cm,densidad_sem,rendimiento,aceite_porcentaje,campania,tipo_ensayo,epoca,distancia_entre_surcos,tipo_siembra,testigo,visible,cultivar
53,165,49351,2216,41.12,2007-2008,Convencional,Normal,52,Directa,NO,SI,KOYA
53,159,59684,2621,50.6,2003-2004,Convencional,Normal,52,Directa,NO,SI,BUCK SOLFLOR
53,180,53042,2006,40.68,2007-2008,Convencional,Normal,52,Directa,NO,SI,BUCK 455 DMR
53,135,58494,4099,50.61,2014-2015,Convencional,Normal,52,Directa,NO,SI,BUCK 345 CL
53,148,65644,2699,56.7,2009-2010,Convencional,Normal,52,Directa,NO,SI,BGH 3013
53,150,54258,3614,49.79,2010-2011,Convencional,Normal,52,Directa,NO,SI,ARGENSOL 70 CL
53,130,59295,5133,50.56,2014-2015,Convencional,Normal,52,Directa,NO,NO,ACA 867
53,170,54945,3502,52.56,2010-2011,Convencional,Normal,52,Directa,NO,SI,ACA 865
54,143,58761,2609,49.88,2003-2004,Convencional,Normal,52,Directa,NO,SI,ZR 123
54,90,58630,1120,50.97,2009-2010,Convencional,Normal,52,Directa,NO,SI,NK 52
54,149,70211,2468,53.9,2009-2010,Convencional,Normal,52,Directa,NO,SI,NK 46 CL
54,157,46399,3317,43.5,2008-2009,Convencional,Normal,52,Directa,NO,SI,NK 34 AO
54,153,68603,2292,51.8,2009-2010,Convencional,Normal,52,Directa,NO,SI,MACON
54,177,40922,3690,43.9,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,EXP RXG 0007 AO
54,133,55288,3160,50.6,2016-2017,Convencional,Normal,52,Directa,NO,SI,LESLLY AO
54,155,56891,3973,52.83,2014-2015,Convencional,Normal,52,Directa,SI,NO,PIONEER 64 LC 72
54,149,54945,3429,48.39,2010-2011,Convencional,Normal,52,Directa,NO,SI,PAN 7063 CL
54,185,57005,2482,40.92,2007-2008,Convencional,Normal,52,Directa,NO,SI,PAN 7034
54,145,61699,4511,46.7,2014-2015,Convencional,Normal,52,Directa,NO,SI,NUSOL 4100 CL
54,113,52885,3057,49.27,2016-2017,Convencional,Normal,52,Directa,NO,SI,NUSOL 4100 CL
54,155,55175,1997,39.84,2007-2008,Convencional,Normal,52,Directa,NO,SI,AUSIGOLD 61
54,129,46162,2791,51.3,2008-2009,Convencional,Normal,52,Directa,NO,SI,PARAISO 55
54,169,42126,3563,53.2,2008-2009,Convencional,Normal,70,Directa,NO,SI,PARAISO 55
54,156,63642,2117,56.7,2009-2010,Convencional,Normal,52,Directa,NO,SI,PARAISO 55
54,139,47607,3220,47.62,2003-2004,Convencional,Normal,52,Directa,NO,SI,PARAISO 27
54,145,56090,3496,49.93,2014-2015,Convencional,Normal,52,Directa,NO,SI,AROMO 105 CL AO
54,150,57692,3314,53.51,2014-2015,Convencional,Normal,52,Directa,NO,SI,MSG 132 CL
54,145,61699,3711,53.67,2014-2015,Convencional,Normal,52,Directa,NO,SI,MSG 121
54,131,52885,2990,48.3,2016-2017,Convencional,Normal,52,Directa,NO,SI,ES SHERPA
54,143,56854,3075,47.56,2003-2004,Convencional,Normal,52,Directa,NO,SI,HELIO 3002
54,135,49497,3255,46.46,2003-2004,Convencional,Normal,52,Directa,NO,SI,HELIO 3002
54,140,42909,2320,49.39,2003-2004,Convencional,Normal,70,Directa,NO,SI,HELIO 3002
54,144,60207,2954,47.47,2003-2004,Convencional,Normal,52,Directa,NO,NO,HELIO 3001
54,150,44958,2363,46.67,2003-2004,Convencional,Normal,70,Directa,NO,SI,HELIO 3001
54,130,57441,3034,51.63,2003-2004,Convencional,Normal,52,Directa,NO,SI,HELIO 2001
54,120,49038,3388,47.97,2003-2004,Convencional,Normal,52,Directa,SI,NO,HELIO 2001
54,173,50137,3272,48.32,2010-2011,Convencional,Normal,52,Directa,SI,NO,CORALIA CS
54,125,41615,2695,56.15,2010-2011,Convencional,Normal,70,Directa,NO,SI,BELINDA CS
54,160,49455,2794,47.86,2003-2004,Convencional,Normal,52,Directa,NO,SI,PAIHUEN
54,130,43826,2526,44.7,2003-2004,Convencional,Normal,70,Directa,NO,SI,MILLEN
54,145,59295,4122,50.38,2014-2015,Convencional,Normal,52,Directa,NO,SI,CACIQUE 308 CL
54,145,55288,3425,52.85,2014-2015,Convencional,Normal,52,Directa,NO,SI,CACIQUE 308 CL
54,190,38597,3459,43.3,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,MG 100 AO
54,113,46561,1219,42.07,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,DM 220 AO
54,154,52885,3203,43.38,2010-2011,Convencional,Normal,52,Directa,NO,SI,TEHUELCHE CL
54,149,48860,3389,41.6,2008-2009,Convencional,Normal,52,Directa,NO,SI,KOYA
54,178,52885,2996,48.88,2010-2011,Convencional,Normal,52,Directa,NO,SI,FABIOLA CS
54,130,47691,3073,44.74,2003-2004,Convencional,Normal,52,Directa,NO,SI,BUCK PAMPAFLOR
54,160,43145,2190,49.07,2003-2004,Convencional,Normal,70,Directa,NO,SI,BUCK PAMPAFLOR
54,155,55288,3737,51.96,2014-2015,Convencional,Normal,52,Directa,NO,SI,BUCK 355 CL
54,151,72010,2806,50.59,2009-2010,Convencional,Normal,52,Directa,NO,SI,BUCK 250
54,139,57614,2595,50.23,2003-2004,Convencional,Normal,52,Directa,NO,SI,BGH 146
54,150,45578,1811,48.61,2003-2004,Convencional,Normal,70,Directa,NO,SI,BGH 146
54,185,55083,2674,40.13,2007-2008,Convencional,Normal,52,Directa,NO,SI,RUSO 33
54,210,50432,2314,42.25,2007-2008,Convencional,Normal,52,Directa,NO,SI,TC 4050
54,150,56891,3788,53.48,2014-2015,Convencional,Normal,52,Directa,NO,SI,SUNGRO 66 CL PLUS
54,182,44164,2993,45.4,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,OLISUN 2
54,200,53848,1849,42.84,2007-2008,Convencional,Normal,52,Directa,NO,SI,CF 31
54,150,57692,3512,52.47,2014-2015,Convencional,Normal,52,Directa,NO,SI,AD 66 CL
54,170,53853,2248,40.4,2007-2008,Convencional,Normal,52,Directa,NO,SI,ACA 872
54,169,46882,2978,43.3,2008-2009,Convencional,Normal,52,Directa,NO,SI,ACA 861
55,138,57458,2690,46.9,2003-2004,Convencional,Normal,52,Directa,NO,SI,ZR 123
55,181,41489,3391,42.9,2006-2007,Alto Oleico,Normal,70,Convencional,NO,NO,SIERRA AO
55,200,60896,2202,42.02,2007-2008,Convencional,Normal,52,Directa,NO,SI,SIERRA
55,154,52885,3814,52.01,2010-2011,Convencional,Normal,52,Directa,NO,SI,TOBSOL 240
55,97,62645,918,56.7,2009-2010,Convencional,Normal,52,Directa,NO,SI,TOB 3005
55,96,65855,1047,54.26,2009-2010,Convencional,Normal,52,Directa,NO,SI,TOB 3004
55,136,68646,1961,49.86,2009-2010,Convencional,Normal,52,Directa,NO,SI,TOB 3004
55,157,70486,2640,48.22,2009-2010,Convencional,Normal,52,Directa,NO,SI,TOB 3002
55,195,62826,2085,43.81,2007-2008,Convencional,Normal,52,Directa,NO,SI,SPS 3150
55,139,54894,2619,50.38,2003-2004,Convencional,Normal,52,Directa,NO,SI,SPS 3140
55,130,51417,2872,49.04,2003-2004,Convencional,Normal,52,Directa,NO,SI,SPS 3140
55,175,52491,2517,50.17,2007-2008,Convencional,Normal,52,Directa,SI,NO,NK 70 CL
55,155,70512,2055,54.65,2009-2010,Convencional,Normal,52,Directa,NO,SI,NK 52
55,165,59409,2248,41.57,2007-2008,Convencional,Normal,52,Directa,NO,SI,NK 50
55,190,36772,2098,34.86,2007-2008,Clearfield,Normal,70,Directa,NO,SI,NK 44 CL
55,170,38701,2385,43.3,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,NK 34 AO
55,170,38701,2385,43.3,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,NK 34 AO
55,134,55427,3424,52.91,2003-2004,Convencional,Normal,52,Directa,NO,SI,DEKASOL 3920
55,150,47090,2711,40.15,2007-2008,Alto Oleico,Normal,70,Directa,NO,SI,DEKASOL 3845 OIL PLUS
55,118,61613,867,52.45,2009-2010,Convencional,Normal,52,Directa,NO,SI,AGROBEL 976 DM
55,170,52611,2554,42.53,2007-2008,Convencional,Normal,52,Directa,NO,SI,AGROBEL 975
55,139,62568,2971,54.48,2003-2004,Convencional,Normal,52,Directa,NO,SI,AGROBEL 967
55,140,49220,2956,54.23,2003-2004,Convencional,Normal,52,Directa,NO,SI,AGROBEL 967
55,130,44254,2319,53.66,2003-2004,Convencional,Normal,70,Directa,NO,SI,AGROBEL 967
55,141,75640,3045,53.41,2009-2010,Convencional,Normal,52,Directa,NO,SI,AGROBEL 963
55,130,49846,2981,52.62,2003-2004,Convencional,Normal,52,Directa,SI,NO,AGROBEL 962
55,135,40119,2329,51.19,2003-2004,Convencional,Normal,70,Directa,SI,NO,AGROBEL 962
55,175,40806,3624,43.3,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,SRM 840 AO
55,182,43941,3614,43.5,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,EXP SPS 110 AO
55,102,60950,859,51.42,2009-2010,Convencional,Normal,52,Directa,NO,SI,ALBISOL 20 CL
55,156,71322,2443,52.31,2009-2010,Convencional,Normal,52,Directa,SI,NO,ALBISOL 20 CL
55,156,36662,1370,46.55,2009-2010,Clearfield,Normal,70,Directa,NO,SI,ALBISOL 20 CL
55,148,64575,2021,52.29,2009-2010,Convencional,Normal,52,Directa,NO,SI,OLIVKO
55,145,45423,2295,45.22,2003-2004,Convencional,Normal,70,Directa,NO,SI,PROTON R 100
55,170,57005,3258,48.11,2010-2011,Convencional,Normal,52,Directa,NO,SI,PROSOL 101 CL
55,200,51036,2420,39.6,2006-2007,Convencional,Normal,52,Directa,NO,SI,PIONEER 65 A 25
55,180,57005,3657,48.73,2010-2011,Convencional,Normal,52,Directa,NO,SI,PIONEER 64 A 15
55,135,60897,4046,49.34,2014-2015,Convencional,Normal,52,Directa,NO,SI,NUSOL 4500 CL AO
55,142,42202,1944,47.3,2009-2010,Clearfield,Normal,70,Directa,NO,SI,PARAISO 68 CL
55,95,64178,1160,56.7,2009-2010,Convencional,Normal,52,Directa,NO,SI,PARAISO 65
55,140,60048,3111,49.33,2003-2004,Convencional,Normal,52,Directa,NO,SI,PARAISO 35
55,125,48482,2422,49.01,2003-2004,Convencional,Normal,52,Directa,NO,SI,PARAISO 35
55,140,44879,2486,48.48,2003-2004,Convencional,Normal,70,Directa,NO,SI,PARAISO 35
55,141,62422,2960,49.79,2003-2004,Convencional,Normal,52,Directa,NO,SI,PARAISO 33
55,145,44042,2428,48.46,2003-2004,Convencional,Normal,70,Directa,NO,SI,PARAISO 33
55,150,56987,2736,49.17,2003-2004,Convencional,Normal,52,Directa,NO,SI,PARAISO 27
55,145,43682,2249,49.25,2003-2004,Convencional,Normal,70,Directa,NO,SI,PARAISO 27
55,181,55632,3389,48.61,2010-2011,Convencional,Normal,52,Directa,NO,SI,PARAISO 22
55,190,50604,1953,41.69,2007-2008,Convencional,Normal,52,Directa,NO,SI,PARAISO 21
